position,player,team,age,prob,last_finish,depth_rank,gates_scored_on,gates_cleared,gates_total,leaper_markers,leaper_total,tier,base_rate,missing
WR,Diontae Johnson,CAR,30.2,0.006,86,,2024,0,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share; Team scoring rank"
WR,Chris Godwin Jr.,TB,30.5,0.006,78,2.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Calvin Ridley,TEN,31.7,0.006,116,3.0,2024,1,5,2.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Team scoring rank"
WR,Olamide Zaccheaus,CHI,29.1,0.006,75,3.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Rashod Bateman,BAL,26.8,0.006,102,2.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Rashid Shaheed,SEA,28.0,0.006,39,2.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Darnell Mooney,ATL,28.8,0.005,79,4.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Team scoring rank"
WR,KaVontae Turpin,DAL,30.1,0.005,77,4.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Xavier Legette,CAR,25.6,0.005,71,3.0,2025,0,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share; Team scoring rank"
WR,Jalen Coker,CAR,24.8,0.005,69,2.0,2025,0,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share; Team scoring rank"
WR,David Moore,CAR,31.6,0.004,88,6.0,2024,0,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share; Team scoring rank"
WR,Justin Watson,KC,30.4,0.004,104,5.0,2024,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Cooper Kupp,SEA,33.2,0.004,55,3.0,2025,2,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Snap share"
WR,Tutu Atwell,LA,26.9,0.004,133,4.0,2024,2,5,1.0,5,E - profile does not support it,0.0674,Target share; Red-zone target share; Snap share
WR,Josh Palmer,BUF,26.9,0.004,105,4.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
WR,Jalen Tolbert,DAL,27.5,0.004,117,2.0,2025,1,5,0.0,5,E - profile does not support it,0.0674,"Target share; Yards per route (est., shrunk); Red-zone target share; Snap share"
