season,seat,points,place
2026,2,1703.69898337504,9
2026,3,1943.4270008018552,3
2026,4,1839.093487199168,6
2026,5,1786.44017780554,7
2026,6,2407.276314571182,1
2026,7,1716.6120630853607,8
2026,8,1867.5689333222342,5
2026,9,1877.0378561967043,4
2026,10,1641.3359903346175,10
2026,1,1665.0950463928982,8
2026,2,1923.5986848811347,1
2026,3,1759.064780873402,5
2026,4,1895.1560257223202,2
2026,5,1691.2466964087535,7
2026,6,1832.021286519196,3
2026,7,1599.6323906157404,9
2026,8,1775.2753805158,4
2026,9,1742.6539524028608,6
2026,10,1378.6211886511066,10
2026,1,1975.7373922918046,2
2026,2,1918.3323591638552,3
2026,3,1683.6943546881948,9
2026,4,1623.7804399684971,10
2026,5,1845.101992183802,5
2026,6,1721.5336377327862,7
2026,7,1993.2940327319545,1
2026,8,1799.8725528444063,6
2026,9,1865.9051296058951,4
2026,10,1689.1519188240607,8
2026,1,1766.9231089355999,7
2026,2,1604.0465911441347,9
2026,3,1776.4257460952413,5
2026,4,1784.7636645111124,4
2026,5,1992.0188344551416,1
2026,6,1430.0494161989848,10
2026,7,1765.3568030298884,8
2026,8,1776.2457159597552,6
2026,9,1831.8162536243753,3
2026,10,1953.7531512393198,2
2026,1,1973.7050285405453,1
2026,2,1721.1717735920056,7
2026,3,1767.0949596522642,5
2026,4,1886.6461545664065,2
2026,5,1851.5210400649673,3
2026,6,1724.195889155514,6
2026,7,1775.6174452823925,4
2026,8,1464.2639392433457,9
2026,9,1374.713073017384,10
2026,10,1537.1016961210673,8
2026,1,1628.6682459067185,5
2026,2,1559.8658955185365,8
2026,3,1541.715792723277,10
2026,4,1571.6032800272565,7
2026,5,1748.7376559854206,1
2026,6,1701.8622459448839,2
2026,7,1694.9101258168432,3
2026,8,1657.0494310893127,4
2026,9,1611.3503388620895,6
2026,10,1546.0730313367835,9
2026,1,1842.4560267807788,3
2026,2,1883.957068877302,2
2026,3,1898.4214584533015,1
2026,4,1621.4818023473902,9
2026,5,1516.2178507145513,10
2026,6,1793.705130608929,4
2026,7,1736.2862210275543,5
2026,8,1650.2752016542986,7
2026,9,1638.4766529539975,8
2026,10,1729.5349632104771,6
2026,1,1699.9910639674274,8
2026,2,1751.2273555006573,5
2026,3,1630.280966515696,9
2026,4,1816.2864437082224,4
2026,5,1859.9620145591864,3
2026,6,1939.8235355426555,2
2026,7,2131.983153959534,1
2026,8,1511.5315414683291,10
2026,9,1738.8031634134768,6
2026,10,1724.993759180666,7
2026,1,1655.1621672706503,8
2026,2,1678.27405886616,7
2026,3,1745.0840774223034,5
2026,4,1645.0624799381014,9
2026,5,1878.0213328659634,2
2026,6,1520.900927565544,10
2026,7,1928.7901888355823,1
2026,8,1788.4830318606023,3
2026,9,1748.3177328128818,4
2026,10,1725.7061914613391,6
2026,1,2065.334599654127,1
2026,2,1894.2464940089108,2
2026,3,1772.8050955880083,5
2026,4,1843.7371350478961,3
2026,5,1746.8435171404833,6
2026,6,1618.2499641058284,9
2026,7,1632.756040836815,8
2026,8,1806.4195971677755,4
2026,9,1645.6134084686566,7
2026,10,1605.6967562521759,10
2026,1,1888.4054816290159,3
2026,2,1839.0917293396813,5
2026,3,1748.1032929095234,7
2026,4,1893.8556963662488,2
2026,5,1887.812201724373,4
2026,6,1961.4985534458797,1
2026,7,1425.6708665094557,10
2026,8,1464.1872973270204,9
2026,9,1664.7812949928878,8
2026,10,1797.4664124054816,6
2026,1,1818.8873482493416,6
2026,2,1845.8936985615642,5
2026,3,1602.2179861166642,10
