season,seat,points,place
2016,10,1770.6600000000003,9
2016,1,1933.22,1
2016,2,1802.9399999999998,7
2016,3,1871.58,4
2016,4,1735.3399999999997,9
2016,5,1812.2200000000003,6
2016,6,1747.06,8
2016,7,1709.56,10
2016,8,1880.48,3
2016,9,1900.98,2
2016,10,1841.52,5
2016,1,1850.86,4
2016,2,1831.66,5
2016,3,1946.6799999999998,1
2016,4,1808.5800000000002,7
2016,5,1779.88,10
2016,6,1925.82,2
2016,7,1782.9199999999998,9
2016,8,1784.2,8
2016,9,1888.3400000000001,3
2016,10,1811.8000000000002,6
2016,1,1886.0800000000002,3
2016,2,1737.2,10
2016,3,1796.3600000000001,8
2016,4,1805.1000000000001,6
2016,5,1944.1599999999999,1
2016,6,1827.22,4
2016,7,1912.52,2
2016,8,1781.92,9
2016,9,1818.96,5
2016,10,1800.0,7
2016,1,1705.6000000000001,10
2016,2,1883.96,3
2016,3,1808.08,6
2016,4,1972.9,1
2016,5,1793.5600000000002,7
2016,6,1883.58,4
2016,7,1723.42,9
2016,8,1741.22,8
2016,9,1936.8200000000002,2
2016,10,1831.42,5
2016,1,1894.56,2
2016,2,1868.86,4
2016,3,1754.9399999999998,8
2016,4,1759.0,7
2016,5,1752.58,9
2016,6,1740.4,10
2016,7,1956.6,1
2016,8,1803.42,6
2016,9,1888.6800000000003,3
2016,10,1853.94,5
2016,1,1766.6999999999998,8
2016,2,1941.58,1
2016,3,1921.0599999999997,2
2016,4,1893.5600000000002,3
2016,5,1729.0,10
2016,6,1835.96,6
2016,7,1866.2800000000002,4
2016,8,1822.44,7
2016,9,1837.7199999999998,5
2016,10,1754.38,9
2016,1,1798.92,10
2016,2,1803.78,9
2016,3,1837.92,4
2016,4,1866.02,2
2016,5,1807.1799999999998,8
2016,6,1820.26,6
2016,7,1954.1,1
2016,8,1840.38,3
2016,9,1829.0600000000002,5
2016,10,1820.0599999999997,7
2016,1,1752.84,10
2016,2,1848.6999999999998,3
2016,3,1845.9,4
2016,4,1843.3600000000001,5
2016,5,1860.98,2
2016,6,1941.38,1
2016,7,1827.1,6
2016,8,1815.96,7
2016,9,1777.02,9
2016,10,1788.22,8
2016,1,1792.94,8
2016,2,1861.92,4
2016,3,1816.88,6
2016,4,1839.6999999999998,5
2016,5,1798.7800000000002,7
2016,6,1961.26,2
2016,7,1728.3200000000002,10
2016,8,1874.6200000000001,3
2016,9,1983.08,1
2016,10,1751.9,9
2016,1,1836.86,4
2016,2,1807.7599999999998,8
2016,3,1844.32,3
2016,4,1803.4199999999998,9
2016,5,1812.5800000000002,7
2016,6,1823.84,6
2016,7,1831.16,5
2016,8,1989.18,1
2016,9,1759.36,10
2016,10,1879.1000000000001,2
2016,1,1778.54,9
2016,2,1815.28,8
2016,3,1863.1,5
2016,4,1880.3200000000002,3
2016,5,1867.2800000000002,4
2016,6,1775.9799999999998,10
2016,7,1847.56,6
2016,8,1891.92,2
2016,9,1932.46,1
2016,10,1830.5199999999998,7
2016,1,1982.88,1
2016,2,1846.1,3
2016,3,1832.12,6
2016,4,1869.56,2
2016,5,1837.36,4
2016,6,1825.7,8
2016,7,1804.52,9
2016,8,1830.3400000000001,7
2016,9,1746.66,10
2016,10,1836.7800000000002,5
2016,1,1806.3799999999999,7
2016,2,1975.02,1
2016,3,1832.64,6
2016,4,1845.02,4
2016,5,1849.8600000000001,3
2016,6,1654.6799999999998,10
2016,7,1776.88,9
2016,8,1926.1600000000003,2
2016,9,1787.22,8
2016,10,1842.8,5
2016,1,1930.66,1
2016,2,1819.54,7
2016,3,1801.7399999999998,9
2016,4,1806.28,8
2016,5,1832.6200000000001,5
2016,6,1849.8200000000002,4
2016,7,1904.6000000000001,2
2016,8,1820.98,6
2016,9,1781.12,10
2016,10,1865.2200000000003,3
2016,1,1886.62,2
2016,2,1797.98,9
2016,3,1971.3199999999997,1
2016,4,1874.8600000000001,4
2016,5,1833.1,7
2016,6,1757.2,10
2016,7,1881.98,3
2016,8,1872.8600000000001,5
2016,9,1865.8999999999999,6
2016,10,1821.62,8
2016,1,1785.9,7
